NodeId	d_1	d_2	clu	clo	n_triad	eig1	eig2
510	7	75	0.19048	0.086957	4	0.01942	0.024253
511	8	70	0.035714	0.024096	1	0.019851	0.022833
512	5	38	0	0	0	0.007202	0.01069
513	9	92	0.13889	0.09434	5	0.022506	0.028861
514	9	143	0.055556	0.025	2	0.036817	0.04668
515	20	167	0.084211	0.12749	16	0.063205	0.05344
516	16	153	0.11667	0.12281	14	0.058633	0.05097
517	12	123	0.12121	0.094118	8	0.043853	0.041064
518	34	271	0.049911	0.13146	28	0.10927	0.083218
519	15	177	0.085714	0.078603	9	0.059369	0.059131
520	10	126	0.17778	0.09816	8	0.039587	0.04152
521	25	206	0.10667	0.18768	32	0.090757	0.066267
522	24	241	0.13043	0.18947	36	0.094608	0.075282
523	28	231	0.084656	0.17778	32	0.089344	0.072615
524	9	120	0.25	0.11465	9	0.036138	0.039833
525	9	94	0.19444	0.11382	7	0.026859	0.0295
526	11	136	0.10909	0.071429	6	0.036859	0.043564
527	7	92	0.095238	0.040816	2	0.020872	0.029358
528	10	130	0.066667	0.041667	3	0.028623	0.040582
529	9	111	0.027778	0.01626	1	0.026622	0.034153
530	11	127	0.16364	0.10526	9	0.036598	0.03924
531	29	230	0.10099	0.20918	41	0.091517	0.069149
532	15	139	0.15238	0.15311	16	0.045367	0.041635
533	8	99	0.28571	0.11268	8	0.028048	0.028779
534	9	101	0	0	0	0.022102	0.030582
535	9	110	0.027778	0.017094	1	0.025222	0.034639
536	10	97	0.044444	0.040816	2	0.020582	0.029408
537	6	65	0.2	0.08	3	0.014145	0.019496
538	10	108	0.022222	0.015385	1	0.029745	0.03382
539	5	65	0.2	0.051948	2	0.017432	0.021136
540	9	95	0.055556	0.032787	2	0.029968	0.030749
541	10	99	0.2	0.125	9	0.039398	0.034146
542	11	150	0.16364	0.087805	9	0.052157	0.05058
543	10	125	0.22222	0.125	10	0.041833	0.042316
544	15	168	0.085714	0.080717	9	0.055625	0.053861
545	18	172	0.13072	0.13699	20	0.074608	0.055294
546	10	127	0.15556	0.089172	7	0.03954	0.042267
547	8	96	0.21429	0.097561	6	0.030369	0.032272
548	14	170	0.098901	0.082569	9	0.052499	0.055478
549	10	104	0.066667	0.04878	3	0.02753	0.033708
550	19	173	0.076023	0.11159	13	0.056088	0.055244
551	7	86	0.14286	0.061224	3	0.019983	0.026694
552	10	118	0.066667	0.042553	3	0.030712	0.038431
553	10	133	0.088889	0.052632	4	0.031424	0.040798
554	7	86	0.2381	0.088496	5	0.023657	0.02592
555	8	83	0.17857	0.09009	5	0.025172	0.025751
556	17	186	0.095588	0.098859	13	0.05715	0.055521
557	7	102	0.14286	0.05042	3	0.026967	0.03193
558	6	65	0	0	0	0.015009	0.020899
559	6	68	0.066667	0.026667	1	0.018478	0.023041
560	6	85	0.066667	0.021739	1	0.020002	0.027062
561	18	190	0.058824	0.077253	9	0.054198	0.060142
562	9	97	0.30556	0.16058	11	0.033776	0.032435
563	9	85	0.13889	0.098039	5	0.026165	0.028384
564	9	108	0.19444	0.097902	7	0.036959	0.037026
565	10	106	0.088889	0.054054	4	0.040871	0.037364
566	12	150	0.18182	0.10345	12	0.061447	0.051065
567	31	255	0.060215	0.14035	28	0.11059	0.080456
568	23	215	0.11462	0.1686	29	0.089848	0.067748
569	15	171	0.15238	0.12903	16	0.060796	0.054898
570	8	89	0.21429	0.10811	6	0.027644	0.029811
571	9	99	0.083333	0.050847	3	0.029944	0.033308
572	7	79	0.047619	0.021739	1	0.022143	0.026997
573	10	123	0.11111	0.070922	5	0.029864	0.03902
574	10	113	0.066667	0.048387	3	0.024654	0.033757
575	11	147	0.018182	0.012346	1	0.032978	0.045202
